וּבַבָּשָׂר,B01371
בַּבָּשָׂר,B01371
בָּאֵימוּרִין,A01334,A02009
דְכֹהֵן
דִבְעָלִים
חֲנִינָא,H01292
לַיּוֹצְאִין,J00515
לִשְׂרֵיפָה,U02014
לַאֲכִילָה,K00260,A01688
הַדְרָן,D01110,E00149,E00147
מִשֶּׁהוּקְדְּשָׁה,E00789
נִמְלְקָה,M01613
בִּטְבוּל,I00033
וּבִמְחוּסַּר,H01412
טְבוּל,I00033,I00066,I00064
וּפוֹסֵל,Q01325
הַתְּרוּמָה,V00962
מַשְׁקֵה,U01849
תְרוּמָה,V00962
וְאוֹכְלֵי,A01699
כְּאוֹכֶל,A01699
יִשְׁמָעֵאל,J00694
וְהָתַנְיָא
וּמִשַּׁמְנָהּ,M01726
סׇלְתָּהּ,O01044
שַׁמְנָהּ,M01726
לְבוֹנָתָהּ
אֲבוּהּ
דִּשְׁמוּאֵל
שֶׁמְּלָקָן,L00683
וּמִיצָּה,M01270
כָּרֵת,K01282
לִצְדָדִין,R00079
מְעַכְּבִין,P00712
לִיפָּסֵל,Q01325,Q01327,Q01328
מִיצָה,M01270,M01273
הַדֶּשֶׁן,D01147,D01148
וּשְׂעִירִים,U01659,P00672
מִשֶּׁהוּקְדְּשׁוּ,E00789
הַבָּשָׂר,B01371
הָעוֹלָה,P00772
מִשֶּׁנִּזְרַק,G00734
בָּעוֹרוֹת,P00347,P00345,P00346
וְאָשָׁם,A03254
וְזִבְחֵי,G00031
שַׁלְמֵי,M01597,M01072,M00002,M01774,M01991
וְלִישְׁחוֹט,U00635,U00636
הַפָּנִים,Q01198
וּלְהִסָּדֵר
הַשּׁוּלְחָן,U01278
הַבָּזִיכִּין,B00451
קָדְשׁוּ,S00192,S00198
הַקּוֹמֶץ,S01485
בַּשִּׁירַיִם,U00909,U01053
מֵאֵפֶר,A02793
תְּרוּמַת,V00962
דְּמוֹעֲלִין
וְגוֹ׳,C00263,C00674
לְבִגְדֵי,B00074
כְהוּנָּה,E00650
בִּקְדוּשְּׁתֵיהּ
אֵפֶר,Q02017,A02793
הַדִּין,D00637
וְאֵמוּרֵי,A02007
וְלֵוִי,L00206
הַלְּמֵידִין,L00565,L00566
קְטֹרֶת,S00844
מִדְּמֵי,D00897,D00867
אָשָׁם,A03254
אֲשָׁמוֹ,A03322,A03323
שֶּׁנֶּהֱנָה
קׇרְבְּנוֹת,S01896
בֶּדֶק,D00340,D00985,B00157,D00986,B00154
הַבַּיִת,V00322,U01971
לְנִדְבַת,N00204
מִשֶּׁקָּרְבָה,S01885,S01888
הַכֹּל,K00668,E00513
וּמֵאֵימוּרַי,A01334,A02009
קַלִּין,S01229
מַפְסֵיד,Q01231
מִצְוַת,R00189,M02285,M02272
לְכֹהֲנִים,K00163
מַפְרִישִׁין,Q02021
